point_id_old,point_id_new,mass_region,field,old,new,rel_delta
point_64ed6c770b4d1532,point_a95441d1b152a47d,R150_anchor,ctau_physical_mm,1.922885677199823e-10,1.9228856771998206e-10,-1.209872e-15
point_0e51641965b6c906,point_e8b7ce7612f33f15,R150_anchor,campaign_id,high_mass_h2_physical_point_scan_v1,high_mass_h2_physical_point_scan_v2_mh12520,
point_0e51641965b6c906,point_e8b7ce7612f33f15,R150_anchor,m_h_GeV,125.13,125.2,5.594182e-04
point_0e51641965b6c906,point_e8b7ce7612f33f15,R150_anchor,lambda1,5.183874349726432,5.184163392607801,5.575808e-05
point_0e51641965b6c906,point_e8b7ce7612f33f15,R150_anchor,lambda2,0.5911204196734665,0.591409462554836,4.889746e-04
point_0e51641965b6c906,point_e8b7ce7612f33f15,R150_anchor,lambda3,7.477857787566444,7.478146830447813,3.865317e-05
point_0e51641965b6c906,point_e8b7ce7612f33f15,R150_anchor,g_hH2H2_GeV,706.917044156663,706.9882124594005,1.006742e-04
point_0e51641965b6c906,point_e8b7ce7612f33f15,R150_anchor,width_bb_GeV,0.0007766155292098758,0.0007766155292098759,1.396060e-16
point_0e51641965b6c906,point_e8b7ce7612f33f15,R150_anchor,width_cc_GeV,3.477009904721254e-05,3.477009904721255e-05,3.897753e-16
point_0e51641965b6c906,point_e8b7ce7612f33f15,R150_anchor,width_tautau_GeV,7.763787718489062e-05,7.763787718489063e-05,1.745608e-16
point_0e51641965b6c906,point_e8b7ce7612f33f15,R150_anchor,width_gg_GeV,0.0001363935153256402,0.0001363935153256406,2.782176e-15
point_0e51641965b6c906,point_e8b7ce7612f33f15,R150_anchor,width_gammagamma_GeV,2.2567194487219985e-07,2.2567194487219916e-07,-3.049623e-15
point_0e51641965b6c906,point_e8b7ce7612f33f15,R150_anchor,width_Zgamma_GeV,1.4947643748875717e-08,1.4947643748875406e-08,-2.080729e-14
point_0e51641965b6c906,point_e8b7ce7612f33f15,R150_anchor,total_width_GeV,0.0010262154080761911,0.0010262154080761918,6.339033e-16
point_0e51641965b6c906,point_e8b7ce7612f33f15,R150_anchor,BR_bb,0.7567763289247126,0.7567763289247122,-4.401127e-16
point_0e51641965b6c906,point_e8b7ce7612f33f15,R150_anchor,BR_cc,0.03388187194771786,0.03388187194771785,-4.095933e-16
point_0e51641965b6c906,point_e8b7ce7612f33f15,R150_anchor,BR_tautau,0.07565456197002103,0.07565456197002099,-5.503087e-16
point_0e51641965b6c906,point_e8b7ce7612f33f15,R150_anchor,BR_gg,0.13290924522496908,0.13290924522496939,2.297141e-15
point_0e51641965b6c906,point_e8b7ce7612f33f15,R150_anchor,BR_gammagamma,0.00021990699330392912,0.0002199069933039283,-3.697707e-15
point_0e51641965b6c906,point_e8b7ce7612f33f15,R150_anchor,BR_Zgamma,1.4565795476504805e-05,1.4565795476504492e-05,-2.151631e-14
point_0e51641965b6c906,point_e8b7ce7612f33f15,R150_anchor,ctau_physical_mm,1.9228612126368454e-10,1.9228612126368441e-10,-6.721596e-16
point_8fd53f6e18e1d68d,point_dc82aac7a10aec3a,R150_anchor,campaign_id,high_mass_h2_physical_point_scan_v1,high_mass_h2_physical_point_scan_v2_mh12520,
point_8fd53f6e18e1d68d,point_dc82aac7a10aec3a,R150_anchor,m_h_GeV,125.13,125.2,5.594182e-04
