m_phi,mA,alpha,beta,lambda6,lambda7,m12,sin_ba,tan_beta,positivity_ok,unitarity_ok,perturbativity_ok,width_bb,width_tautau,width_WW,width_ZZ,width_gaga,width_Zga,width_gg,width_hh,total_width,br_gaga,lam1,computed_lam1,lam2,computed_lam2,lam3,lam4,lam5
130.000000000000000,300.000000000000000,-0.000099999999667,1.570696326795230,0.100000000000000,0.000000000000000,1.689908466777953,1.000000000000000,10000.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000027621,0.000000000002691,0.000000000000000,0.000000000000000,0.000000000031902,0.000000000003953,0.000000000003573,0.000000000000000,0.000000000070998,0.449341413556816,9.816096388368578,12.524753160774708,0.257733792616624,0.258196179522972,2.669307438953408,-1.205801870960299,-1.205801870960299
130.000000000000000,300.000000000000000,-0.000099999999667,1.570696326795230,0.100000000000000,0.000000000000000,1.689908470323888,1.000000000000000,10000.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000027621,0.000000000002691,0.000000000000000,0.000000000000000,0.000000000031899,0.000000000003953,0.000000000003573,0.000000000000000,0.000000000070994,0.449315237334406,9.757606321582443,12.466158159077168,0.257733792616624,0.258196179522972,2.669307438368508,-1.205801870375398,-1.205801870375399
130.000000000000000,300.000000000000000,-0.000099999999667,1.570696326795230,0.100000000000000,0.000000000000000,1.689908473869822,1.000000000000000,10000.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000027621,0.000000000002691,0.000000000000000,0.000000000000000,0.000000000031895,0.000000000003952,0.000000000003573,0.000000000000000,0.000000000070989,0.449289059177781,9.699116260796927,12.407563161104918,0.257733792616624,0.258196179522972,2.669307437783607,-1.205801869790498,-1.205801869790498
130.000000000000000,300.000000000000000,-0.000099999999667,1.570696326795230,0.100000000000000,0.000000000000000,1.689908477415757,1.000000000000000,10000.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000027621,0.000000000002691,0.000000000000000,0.000000000000000,0.000000000031891,0.000000000003952,0.000000000003573,0.000000000000000,0.000000000070985,0.449262879084124,9.640626200011411,12.348968166857958,0.257733792616624,0.258196179522972,2.669307437198706,-1.205801869205597,-1.205801869205597
130.000000000000000,300.000000000000000,-0.000099999999667,1.570696326795230,0.100000000000000,0.000000000000000,1.689908480961692,1.000000000000000,10000.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000027621,0.000000000002691,0.000000000000000,0.000000000000000,0.000000000031887,0.000000000003951,0.000000000003573,0.000000000000000,0.000000000070981,0.449236697420750,9.582136133225276,12.290373168885708,0.257733792616624,0.258196179522972,2.669307436613806,-1.205801868620696,-1.205801868620697
130.000000000000000,300.000000000000000,-0.000099999999667,1.570696326795230,0.100000000000000,0.000000000000000,1.689908484507627,1.000000000000000,10000.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000027621,0.000000000002691,0.000000000000000,0.000000000000000,0.000000000031884,0.000000000003951,0.000000000003573,0.000000000000000,0.000000000070977,0.449210514563214,9.523646072439760,12.231778174638748,0.257733792616624,0.258196179522972,2.669307436028905,-1.205801868035796,-1.205801868035796
130.000000000000000,300.000000000000000,-0.000099999999667,1.570696326795230,0.100000000000000,0.000000000000000,1.689908488053562,1.000000000000000,10000.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000027621,0.000000000002691,0.000000000000000,0.000000000000000,0.000000000031880,0.000000000003950,0.000000000003573,0.000000000000000,0.000000000070973,0.449184329025343,9.465156005653398,12.173183172941208,0.257733792616624,0.258196179522972,2.669307435444004,-1.205801867450895,-1.205801867450895
130.000000000000000,300.000000000000000,-0.000099999999667,1.570696326795230,0.100000000000000,0.000000000000000,1.689908491599496,1.000000000000000,10000.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000027621,0.000000000002691,0.000000000000000,0.000000000000000,0.000000000031876,0.000000000003950,0.000000000003573,0.000000000000000,0.000000000070968,0.449158143033750,9.406665944867882,12.114588174968958,0.257733792616624,0.258196179522972,2.669307434859104,-1.205801866865994,-1.205801866865995
130.000000000000000,300.000000000000000,-0.000099999999667,1.570696326795230,0.100000000000000,0.000000000000000,1.689908495145431,1.000000000000000,10000.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000027621,0.000000000002691,0.000000000000000,0.000000000000000,0.000000000031872,0.000000000003949,0.000000000003573,0.000000000000000,0.000000000070964,0.449131955104866,9.348175884082593,12.055993184447289,0.257733792616624,0.258196179522972,2.669307434274203,-1.205801866281094,-1.205801866281094
130.000000000000000,300.000000000000000,-0.000099999999667,1.570696326795230,0.100000000000000,0.000000000000000,1.689908498691366,1.000000000000000,10000.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000027621,0.000000000002691,0.000000000000000,0.000000000000000,0.000000000031869,0.000000000003949,0.000000000003573,0.000000000000000,0.000000000070960,0.449105765606250,9.289685817296231,11.997398182749748,0.257733792616624,0.258196179522972,2.669307433689302,-1.205801865696193,-1.205801865696194
