m_phi,mA,alpha,beta,lambda6,lambda7,m12,positivty,unitarity,perturbativity,w_h2_bb,w_h2_tautau,w_h2_WW,w_h2_ZZ,w_h2_gaga,w_h2_Zga,w_h2_gg,w_h2_hh,w_total_h2,branching_ratio_h2_gaga
125.0,300.0,0.001,1.57,-20.0,-20.0,20.0,0,0,0,0.0,0.0,,,710098.62179982,67908.72142583194,0.0,0.0,778007.3432256549,0.9127145495256096
125.0,300.0,0.001,1.57,-20.0,0.0,0.0,1,0,0,0.0,0.0,,,0.0003176435220433502,3.034843608689261e-05,0.0,0.0,0.0003479950231010624,0.9127817955922383
125.0,300.0,0.001,1.57,-20.0,0.0,10.0,1,0,0,0.0,0.0,,,1.538853441892909e-05,1.465336152392563e-06,0.0,0.0,1.685693554213785e-05,0.9128903874883927
125.0,300.0,0.001,1.57,-20.0,0.0,20.0,0,0,0,0.0,0.0,,,9.953877401001584e-05,9.535250349013604e-06,0.0,0.0,0.00010907708932985,0.9125543651885482
125.0,300.0,0.001,1.57,-20.0,20.0,0.0,1,0,0,0.0,0.0,,,710111.8442969193,67909.98316177014,0.0,0.0,778021.8274586925,0.9127145527734198
125.0,300.0,0.001,1.57,-20.0,20.0,10.0,1,0,0,0.0,0.0,,,710088.4184216836,67907.74288613163,0.0,0.0,777996.1613078183,0.9127145527659402
125.0,300.0,0.001,1.57,-20.0,20.0,20.0,1,0,0,0.0,0.0,,,710064.9929250969,67905.5026450052,0.0,0.0,777970.4955701052,0.9127145527604534
125.0,300.0,0.001,1.57,0.0,-20.0,0.0,0,0,0,0.0,0.0,,,710052.6711848002,67904.32698623186,0.0,0.0,777956.9981710351,0.9127145495883746
125.0,300.0,0.001,1.57,0.0,-20.0,10.0,0,0,0,0.0,0.0,,,710076.0963555528,67906.56716321385,0.0,0.0,777982.6635187697,0.9127145496326622
125.0,300.0,0.001,1.57,0.0,-20.0,20.0,0,0,0,0.0,0.0,,,710099.5222253179,67908.80749194257,0.0,0.0,778008.3297172635,0.9127145495773492
125.0,300.0,0.001,1.57,0.0,0.0,0.0,1,0,0,0.0,0.0,,,0.0002988816083330002,2.855504251936127e-05,0.0,0.0,0.0003274397158231772,0.912783617532826
125.0,300.0,0.001,1.57,0.0,0.0,10.0,1,0,0,0.0,0.0,,,1.148165063283061e-05,1.092570720074599e-06,0.0,0.0,1.257728632371752e-05,0.9128877515636402
125.0,300.0,0.001,1.57,0.0,0.0,20.0,0,0,0,0.0,0.0,,,0.0001104869200626854,1.058311302037723e-05,0.0,0.0,0.0001210730980538793,0.9125637473447412
125.0,300.0,0.001,1.57,0.0,20.0,0.0,1,0,0,0.0,0.0,,,710110.9437021953,67909.89703538237,0.0,0.0,778020.8407375807,0.9127145527734125
125.0,300.0,0.001,1.57,0.0,20.0,10.0,1,0,0,0.0,0.0,,,710087.5178322492,67907.65675857793,0.0,0.0,777995.1745908301,0.912714552767894
125.0,300.0,0.001,1.57,0.0,20.0,20.0,1,0,0,0.0,0.0,,,710064.092350496,67905.41651888787,0.0,0.0,777969.5088693869,0.9127145527623866
125.0,300.0,0.001,1.57,20.0,-20.0,0.0,0,0,0,0.0,0.0,,,710053.571589369,67904.41305207013,0.0,0.0,777957.9846414421,0.9127145496380887
125.0,300.0,0.001,1.57,20.0,-20.0,10.0,0,0,0,0.0,0.0,,,710076.9969299885,67906.65328767027,0.0,0.0,777983.6502176618,0.9127145496326632
125.0,300.0,0.001,1.57,20.0,-20.0,20.0,0,0,0,0.0,0.0,,,710100.422661026,67908.89355136178,0.0,0.0,778009.3162123908,0.9127145496380841
125.0,300.0,0.001,1.57,20.0,0.0,0.0,1,0,0,0.0,0.0,,,0.0002806907839860964,2.681626382935301e-05,0.0,0.0,0.0003075101127862612,0.9127855388001306
125.0,300.0,0.001,1.57,20.0,0.0,10.0,1,0,0,0.0,0.0,,,8.145856205345392e-06,7.744201634857467e-07,0.0,0.0,8.923341339643451e-06,0.912870627189397
125.0,300.0,0.001,1.57,20.0,0.0,20.0,0,0,0,0.0,0.0,,,0.0001220061554658226,1.168559056447742e-05,0.0,0.0,0.0001336948110011128,0.9125721077148393
125.0,300.0,0.001,1.57,20.0,20.0,0.0,1,0,0,0.0,0.0,,,710110.0431062328,67909.81090886897,0.0,0.0,778019.8540151047,0.9127145527734135
125.0,300.0,0.001,1.57,20.0,20.0,10.0,1,0,0,0.0,0.0,,,710086.6172588974,67907.5706358915,0.0,0.0,777994.187894792,0.9127145527659422
125.0,300.0,0.001,1.57,20.0,20.0,20.0,1,0,0,0.0,0.0,,,710063.1917920206,67905.3303976062,0.0,0.0,777968.5221896298,0.9127145527604555
125.0,300.0,0.001,1.59,-20.0,-20.0,0.0,0,0,0,,,,,,,,,,
125.0,300.0,0.001,1.59,-20.0,-20.0,10.0,0,0,0,,,,,,,,,,
125.0,300.0,0.001,1.59,-20.0,-20.0,20.0,0,0,0,,,,,,,,,,
125.0,300.0,0.001,1.59,-20.0,0.0,0.0,0,0,0,,,,,,,,,,
125.0,300.0,0.001,1.59,-20.0,0.0,10.0,0,0,0,,,,,,,,,,
125.0,300.0,0.001,1.59,-20.0,0.0,20.0,0,0,0,,,,,,,,,,
125.0,300.0,0.001,1.59,-20.0,20.0,0.0,0,0,0,,,,,,,,,,
125.0,300.0,0.001,1.59,-20.0,20.0,10.0,0,0,0,,,,,,,,,,
125.0,300.0,0.001,1.59,-20.0,20.0,20.0,0,0,0,,,,,,,,,,
125.0,300.0,0.001,1.59,0.0,-20.0,0.0,0,0,0,,,,,,,,,,
125.0,300.0,0.001,1.59,0.0,-20.0,10.0,0,0,0,,,,,,,,,,
125.0,300.0,0.001,1.59,0.0,-20.0,20.0,0,0,0,,,,,,,,,,
125.0,300.0,0.001,1.59,0.0,0.0,0.0,0,0,0,,,,,,,,,,
125.0,300.0,0.001,1.59,0.0,0.0,10.0,0,0,0,,,,,,,,,,
125.0,300.0,0.001,1.59,0.0,0.0,20.0,0,0,0,,,,,,,,,,
125.0,300.0,0.001,1.59,0.0,20.0,0.0,0,0,0,,,,,,,,,,
125.0,300.0,0.001,1.59,0.0,20.0,10.0,0,0,0,,,,,,,,,,
125.0,300.0,0.001,1.59,0.0,20.0,20.0,0,0,0,,,,,,,,,,
125.0,300.0,0.001,1.59,20.0,-20.0,0.0,0,0,0,,,,,,,,,,
125.0,300.0,0.001,1.59,20.0,-20.0,10.0,0,0,0,,,,,,,,,,
125.0,300.0,0.001,1.59,20.0,-20.0,20.0,0,0,0,,,,,,,,,,
125.0,300.0,0.001,1.59,20.0,0.0,0.0,0,0,0,,,,,,,,,,
125.0,300.0,0.001,1.59,20.0,0.0,10.0,0,0,0,,,,,,,,,,
125.0,300.0,0.001,1.59,20.0,0.0,20.0,0,0,0,,,,,,,,,,
125.0,300.0,0.001,1.59,20.0,20.0,0.0,0,0,0,,,,,,,,,,
125.0,300.0,0.001,1.59,20.0,20.0,10.0,0,0,0,,,,,,,,,,
125.0,300.0,0.001,1.59,20.0,20.0,20.0,0,0,0,,,,,,,,,,
125.0,300.0,0.0055000000000000005,1.55,-20.0,-20.0,0.0,0,0,0,0.0,0.0,,,1.523281948704648,0.145704822190263,0.0,0.0,1.66898742756341,0.9126982765403564
125.0,300.0,0.0055000000000000005,1.55,-20.0,-20.0,10.0,0,0,0,0.0,0.0,,,1.523332280093826,0.1457096360032227,0.0,0.0,1.669042572765548,0.9126982768149016
125.0,300.0,0.0055000000000000005,1.55,-20.0,-20.0,20.0,0,0,0,0.0,0.0,,,1.52338261231075,0.1457144498942638,0.0,0.0,1.669097718873513,0.9126982770900269
125.0,300.0,0.0055000000000000005,1.55,-20.0,0.0,0.0,1,0,0,0.0,0.0,,,1.207412227521143e-06,9.101228205506535e-08,0.0,0.0,1.955093009298521e-06,0.6175727813350208
125.0,300.0,0.0055000000000000005,1.55,-20.0,0.0,10.0,1,0,0,0.0,0.0,,,1.163018181106855e-06,8.724753228901641e-08,0.0,0.0,1.906934213118215e-06,0.6098889899327412
125.0,300.0,0.0055000000000000005,1.55,-20.0,0.0,20.0,1,0,0,0.0,0.0,,,1.119455631030061e-06,8.356230084644734e-08,0.0,0.0,1.859686431597652e-06,0.6019593475596524
125.0,300.0,0.0055000000000000005,1.55,-20.0,20.0,0.0,0,0,0,0.0,0.0,,,1.528711505812997,0.1461658106566715,0.0,0.0,1.674877973138168,0.9127300796419792
125.0,300.0,0.0055000000000000005,1.55,-20.0,20.0,10.0,0,0,0,0.0,0.0,,,1.528661085637025,0.1461609893148128,0.0,0.0,1.674822731620338,0.9127300798921532
125.0,300.0,0.0055000000000000005,1.55,-20.0,20.0,20.0,0,0,0,0.0,0.0,,,1.528610666293146,0.1461561680525251,0.0,0.0,1.674767491014171,0.9127300801423377
