lambda1,lambda2,lambda3,lambda4,lambda5,m12_squared,beta,tan_beta,positivity_ok,unitarity_ok,perturbativity_ok,width_h2_bb,width_h2_tautau,width_h2_WW,width_h2_ZZ,width_hgaga,total_width_h2,branching_ratio_hgaga
0.000000,0.000000,9.734518,9.734518,9.734518,0.000000,0.080000,0.080171,true,false,false,0.000000,0.000000,7.496995,3.463806,0.000098,-nan,0.000000
0.000000,0.000000,9.734518,9.734518,9.734518,0.000000,0.100000,0.100335,true,false,false,0.000000,0.000000,11.396907,5.344198,0.000108,-nan,0.000000
0.000000,0.000000,9.734518,9.734518,9.734518,0.020000,0.020000,0.020003,true,false,false,0.000000,0.000000,0.379967,0.092357,0.000048,-nan,0.000000
0.000000,0.000000,9.734518,9.734518,9.734518,0.020000,0.040000,0.040021,true,false,false,0.000000,0.000000,1.903629,0.820923,0.000073,-nan,0.000000
0.000000,0.000000,9.734518,9.734518,9.734518,0.020000,0.060000,0.060072,true,false,false,0.000000,0.000000,4.311612,1.945198,0.000088,-nan,0.000000
0.000000,0.000000,9.734518,9.734518,9.734518,0.020000,0.080000,0.080171,true,false,false,0.000000,0.000000,7.497000,3.463808,0.000098,-nan,0.000000
0.000000,0.000000,9.734518,9.734518,9.734518,0.020000,0.100000,0.100335,true,false,false,0.000000,0.000000,11.396911,5.344200,0.000108,-nan,0.000000
0.000000,0.000000,9.734518,9.734518,9.734518,0.040000,0.020000,0.020003,true,false,false,0.000000,0.000000,0.379976,0.092367,0.000048,-nan,0.000000
0.000000,0.000000,9.734518,9.734518,9.734518,0.040000,0.040000,0.040021,true,false,false,0.000000,0.000000,1.903636,0.820926,0.000073,-nan,0.000000
0.000000,0.000000,9.734518,9.734518,9.734518,0.040000,0.060000,0.060072,true,false,false,0.000000,0.000000,4.311617,1.945201,0.000088,-nan,0.000000
0.000000,0.000000,9.734518,9.734518,9.734518,0.040000,0.080000,0.080171,true,false,false,0.000000,0.000000,7.497004,3.463811,0.000098,-nan,0.000000
0.000000,0.000000,9.734518,9.734518,9.734518,0.040000,0.100000,0.100335,true,false,false,0.000000,0.000000,11.396915,5.344202,0.000108,-nan,0.000000
0.000000,0.000000,9.734518,9.734518,9.734518,0.060000,0.020000,0.020003,true,false,false,0.000000,0.000000,0.379986,0.092377,0.000048,-nan,0.000000
0.000000,0.000000,9.734518,9.734518,9.734518,0.060000,0.040000,0.040021,true,false,false,0.000000,0.000000,1.903642,0.820929,0.000073,-nan,0.000000
0.000000,0.000000,9.734518,9.734518,9.734518,0.060000,0.060000,0.060072,true,false,false,0.000000,0.000000,4.311622,1.945203,0.000088,-nan,0.000000
0.000000,0.000000,9.734518,9.734518,9.734518,0.060000,0.080000,0.080171,true,false,false,0.000000,0.000000,7.497008,3.463813,0.000098,-nan,0.000000
0.000000,0.000000,9.734518,9.734518,9.734518,0.060000,0.100000,0.100335,true,false,false,0.000000,0.000000,11.396919,5.344204,0.000108,-nan,0.000000
0.000000,0.000000,9.734518,9.734518,9.734518,0.080000,0.020000,0.020003,true,false,false,0.000000,0.000000,0.379995,0.092387,0.000048,-nan,0.000000
0.000000,0.000000,9.734518,9.734518,9.734518,0.080000,0.040000,0.040021,true,false,false,0.000000,0.000000,1.903648,0.820932,0.000073,-nan,0.000000
