schema_version,producer,producer_commit,producer_dirty,evaluator_api,campaign_id,run_id,point_id,yukawa_type,yukawa_type_installed,mh_input_GeV,mH_input_GeV,mA_input_GeV,mHp_input_GeV,sin_beta_minus_alpha_input,tan_beta_input,beta_input_rad,M2_input_GeV2,m12_sq_input_GeV2,lambda6_input,lambda7_input,lambda1_reconstructed,lambda2_reconstructed,lambda3_reconstructed,lambda4_reconstructed,lambda5_reconstructed,lambda6_reconstructed,lambda7_reconstructed,tan_beta_reconstructed,m12_sq_reconstructed_GeV2,M2_reconstructed_GeV2,construction_ok,numerical_ok,rejection_stage,rejection_reason,positivity_reported_ok,unitarity_ok,perturbativity_ok,stability_reported_ok,stability_dependency_alias,triple_ok_legacy,theory_ok_v1,experimental_evaluated,experimental_ok,g_hH2H2_GeV,width_bb_GeV,width_cc_GeV,width_tt_GeV,width_tautau_GeV,width_WW_GeV,width_ZZ_GeV,width_gammagamma_GeV,width_Zgamma_GeV,width_gg_GeV,width_hh_GeV,total_width_GeV,width_unaccounted_GeV,br_bb,br_cc,br_tt,br_tautau,br_WW,br_ZZ,br_gammagamma,br_Zgamma,br_gg,br_hh,width_ok,ctau_mm,pilot_name,Delta_heavy_GeV,model_variant
dihiggs.point.v2,DihiggsPointV2Evaluator,2264ffe1b8d8f59bec69341d6aa1a917396ccb2b,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,high_mass_h2_pilot_v1,P0_anchor_150,point_c7afb83ab8127e47,1,1.00000000000000000e+00,1.25129999999999995e+02,1.50000000000000000e+02,4.50000000000000000e+02,4.50000000000000000e+02,1.00000000000000000e+00,3.00000000000000000e+05,1.57079299346156320e+00,2.24999999995003345e+04,7.49999999996479594e-02,1.00000000000000004e-10,0.00000000000000000e+00,1.00000093418204150e+00,2.58270157669935163e-01,6.19645673956263465e+00,-2.96909329094943431e+00,-2.96909329094943431e+00,1.00000000000000004e-10,0.00000000000000000e+00,2.99999999991412624e+05,7.49997525396243203e-02,2.24999257614932430e+04,1,1.00000000000000000e+00,accepted,none,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,nan,6.35914252007596588e+01,3.45161989518615024e-14,1.54533566898139299e-15,0.00000000000000000e+00,3.45056661740602714e-15,0.00000000000000000e+00,0.00000000000000000e+00,1.21233085848076384e-17,9.34657605310029115e-19,6.06190414225365116e-15,0.00000000000000000e+00,4.56118529862185007e-14,2.47896395258175048e-17,7.56737485808578692e-01,3.38801335137231124e-02,0.00000000000000000e+00,7.56506563863697107e-02,0.00000000000000000e+00,0.00000000000000000e+00,2.65792941770435500e-04,2.04915508605281493e-05,1.32901948624741001e-01,0.00000000000000000e+00,1.00000000000000000e+00,4.32622152973311191e+00,P0_anchor_150,3.00000000000000000e+02,PHYSICAL_DECAYS_NO_HEAVY_CASCADES
dihiggs.point.v2,DihiggsPointV2Evaluator,2264ffe1b8d8f59bec69341d6aa1a917396ccb2b,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,high_mass_h2_pilot_v1,P1_below_hh,point_5fea9b6b17758a88,1,1.00000000000000000e+00,1.25200000000000003e+02,2.00000000000000000e+02,5.00000000000000000e+02,5.00000000000000000e+02,9.98999999999999999e-01,5.00000000000000000e+01,1.55079899282174605e+00,1.67216815446837099e+04,3.34299910929303167e+02,1.00000000000000006e-01,0.00000000000000000e+00,9.52483810163863836e+02,2.58798085442267900e-01,8.46674133276476226e+00,-3.84891716804290285e+00,-3.84891716804290285e+00,1.00000000000000006e-01,0.00000000000000000e+00,4.99999999999999005e+01,3.34299910929211592e+02,1.67216815446791297e+04,1,1.00000000000000000e+00,unitarity,check_unitarity_false,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,1.58802342258066801e+02,2.39929050150410256e-06,1.07157204994779392e-07,0.00000000000000000e+00,2.53330158173672456e-07,2.01421590164437784e-03,6.99227325054663381e-04,2.27761139966583679e-07,2.26190248507728505e-07,7.88496504528889884e-07,0.00000000000000000e+00,2.71744722035843593e-03,1.76790171911578309e-09,8.82920736612368144e-04,3.94330400207902368e-05,0.00000000000000000e+00,9.32235799377394310e-05,7.41216199731268177e-01,2.57310360921171488e-01,8.38143748516085555e-05,8.32362986898761643e-05,2.90160743002355686e-04,0.00000000000000000e+00,1.00000000000000000e+00,7.26148345850751165e-11,P1_below_hh,3.00000000000000000e+02,PHYSICAL_DECAYS_NO_HEAVY_CASCADES
dihiggs.point.v2,DihiggsPointV2Evaluator,2264ffe1b8d8f59bec69341d6aa1a917396ccb2b,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,high_mass_h2_pilot_v1,P2_above_hh,point_bf7e041cba98bb23,1,1.00000000000000000e+00,1.25200000000000003e+02,3.00000000000000000e+02,8.00000000000000000e+02,8.00000000000000000e+02,9.98999999999999999e-01,5.00000000000000000e+01,1.55079899282174605e+00,1.67216815446837099e+04,3.34299910929303167e+02,1.00000000000000006e-01,0.00000000000000000e+00,3.01391789707441012e+03,2.59302486305148461e-01,2.23525127712135969e+01,-1.02819526317488190e+01,-1.02819526317488208e+01,1.00000000000000006e-01,0.00000000000000000e+00,4.99999999999999005e+01,3.34299910929302541e+02,1.67216815446836808e+04,1,1.00000000000000000e+00,unitarity,check_unitarity_false,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,6.60442680001940062e+02,3.33931159208556013e-06,1.48872872020115045e-07,2.35195911299973838e-07,3.80095248713359332e-07,1.13117274084002274e-02,5.02063920703260669e-03,2.35264824048730929e-06,2.01000751244867839e-06,3.29573391764383584e-06,6.55382659467444815e-03,2.28979576299750930e-02,2.55457311554296851e-09,1.45834473364303823e-04,6.50157863097928054e-06,1.02714798891969860e-05,1.65995262483928695e-05,4.94005954207564490e-01,2.19261441922672801e-01,1.02744894479476264e-04,8.77810827030893096e-05,1.43931348415523322e-04,2.86218827922670782e-01,1.00000000000000000e+00,8.61766728669654875e-12,P2_above_hh,5.00000000000000000e+02,PHYSICAL_DECAYS_NO_HEAVY_CASCADES
dihiggs.point.v2,DihiggsPointV2Evaluator,2264ffe1b8d8f59bec69341d6aa1a917396ccb2b,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,high_mass_h2_pilot_v1,P3_below_tt,point_ecaaa58ab7de11c2,1,1.00000000000000000e+00,1.25200000000000003e+02,3.30000000000000000e+02,8.00000000000000000e+02,8.00000000000000000e+02,9.98999999999999999e-01,5.00000000000000000e+01,1.55079899282174605e+00,1.67216815446837099e+04,3.34299910929303167e+02,1.00000000000000006e-01,0.00000000000000000e+00,3.79313998192659756e+03,2.59493149831317327e-01,2.27379595643855836e+01,-1.02819526317488190e+01,-1.02819526317488208e+01,1.00000000000000006e-01,0.00000000000000000e+00,4.99999999999999005e+01,3.34299910929211592e+02,1.67216815446791297e+04,1,1.00000000000000000e+00,unitarity,check_unitarity_false,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,8.50062727669123888e+02,3.61115654352495233e-06,1.60950538474510148e-07,3.22237661600865047e-06,4.18120048824049717e-07,1.61924039393894596e-02,7.32368762506962600e-03,5.41645861334631222e-06,4.34200815123647775e-06,5.13132193191285116e-06,1.05560411411230893e-02,3.40944378850435229e-02,2.78701801914582603e-09,1.05916295077241525e-04,4.72072714667384475e-06,9.45132642125839483e-05,1.22635853459097425e-05,4.74928021807706935e-01,2.14805935494902706e-01,1.58866341530810028e-04,1.27352390025506801e-04,1.50503197888587236e-04,3.09611825152095899e-01,1.00000000000000000e+00,5.78765900365710385e-12,P3_below_tt,4.70000000000000000e+02,PHYSICAL_DECAYS_NO_HEAVY_CASCADES
dihiggs.point.v2,DihiggsPointV2Evaluator,2264ffe1b8d8f59bec69341d6aa1a917396ccb2b,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,high_mass_h2_pilot_v1,P4_above_tt,point_f180c217f879811a,1,1.00000000000000000e+00,1.25200000000000003e+02,4.00000000000000000e+02,8.00000000000000000e+02,8.00000000000000000e+02,9.98999999999999999e-01,5.00000000000000000e+01,1.55079899282174605e+00,1.67216815446837099e+04,3.34299910929303167e+02,1.00000000000000006e-01,0.00000000000000000e+00,5.89992561874917465e+03,2.60008647513181312e-01,2.37800934866654003e+01,-1.02819526317488190e+01,-1.02819526317488208e+01,1.00000000000000006e-01,0.00000000000000000e+00,4.99999999999999005e+01,3.34299910929257067e+02,1.67216815446814035e+04,1,1.00000000000000000e+00,unitarity,check_unitarity_false,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,1.36273915284335953e+03,4.23191068630828452e-06,1.88541143286972867e-07,2.55923961307964742e-03,5.06840339725855848e-07,3.22724333810434569e-02,1.50426864370008431e-02,2.59078176334953002e-05,2.08549212319216596e-05,1.47134542328258519e-05,2.32965336040153841e-02,7.32372998449845880e-02,3.32457769647298562e-09,5.77835432937263445e-05,2.57438687234568314e-06,3.49444834598842541e-02,6.92052193074626461e-06,4.40655696610222969e-01,2.05396518834534719e-01,3.53751676923265348e-04,2.84758193926640778e-04,2.00901101815176400e-04,3.18096566275999471e-01,1.00000000000000000e+00,2.69435084059169195e-12,P4_above_tt,4.00000000000000000e+02,PHYSICAL_DECAYS_NO_HEAVY_CASCADES
dihiggs.point.v2,DihiggsPointV2Evaluator,2264ffe1b8d8f59bec69341d6aa1a917396ccb2b,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,high_mass_h2_pilot_v1,P5_near_800,point_cf281c5a023cb3e2,1,1.00000000000000000e+00,1.25200000000000003e+02,8.00000000000000000e+02,2.00000000000000000e+03,2.00000000000000000e+03,9.98999999999999999e-01,5.00000000000000000e+01,1.55079899282174605e+00,1.67216815446837099e+04,3.34299910929303167e+02,1.00000000000000006e-01,0.00000000000000000e+00,2.56896928530904261e+04,2.64850895796834906e-01,1.44415367921091757e+02,-6.57050273959844304e+01,-6.57050273959844304e+01,1.00000000000000006e-01,0.00000000000000000e+00,4.99999999999999005e+01,3.34299910929484440e+02,1.67216815446927794e+04,1,1.00000000000000000e+00,unitarity,check_unitarity_false,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,6.17848639518456184e+03,7.54854926187144411e-06,3.36051232999389786e-07,2.03313287481867860e-02,1.01377069780258642e-06,3.10288128956305864e-01,1.52258787907312981e-01,9.38388798269041677e-05,8.89793063224563765e-05,3.72657702078531603e-05,2.39545550462942541e-01,7.22652784715890339e-01,6.31359231562100831e-09,1.04456101485018733e-05,4.65024476632312056e-07,2.81342979342147151e-02,1.40284617902793880e-06,4.29373740085005118e-01,2.10694251966624946e-01,1.29853342866168784e-04,1.23128711608630194e-04,5.15680157829933932e-05,3.31480837726404742e-01,1.00000000000000000e+00,2.73059184955024794e-13,P5_near_800,1.20000000000000000e+03,PHYSICAL_DECAYS_NO_HEAVY_CASCADES
dihiggs.point.v2,DihiggsPointV2Evaluator,2264ffe1b8d8f59bec69341d6aa1a917396ccb2b,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,high_mass_h2_pilot_v1,P6a_heavy_sep_thin,point_313a002f81efbfab,1,1.00000000000000000e+00,1.25200000000000003e+02,3.00000000000000000e+02,5.00000000000000000e+02,5.00000000000000000e+02,9.98999999999999999e-01,5.00000000000000000e+01,1.55079899282174605e+00,1.67216815446837099e+04,3.34299910929303167e+02,1.00000000000000006e-01,0.00000000000000000e+00,3.01391789707441012e+03,2.59302486305148461e-01,9.48644184380176192e+00,-3.84891716804290285e+00,-3.84891716804290285e+00,1.00000000000000006e-01,0.00000000000000000e+00,4.99999999999999005e+01,3.34299910929302541e+02,1.67216815446836808e+04,1,1.00000000000000000e+00,unitarity,check_unitarity_false,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,6.60442680001939607e+02,3.33931159208556352e-06,1.48872872020114860e-07,2.35195911299976009e-07,3.80095248713359438e-07,1.13117274084002396e-02,5.02063920703261363e-03,1.80181816908319075e-05,1.21454161691637445e-05,3.29573391764384219e-06,6.55382659467443254e-03,2.29237585720821584e-02,2.55457311554296851e-09,1.45670335062434510e-04,6.49426103280552824e-06,1.02599192257421004e-05,1.65808432992424185e-05,4.93449945079089125e-01,2.19014660761042479e-01,7.86004687415241786e-04,5.29817836415146805e-04,1.43769352101691226e-04,2.85896685487520841e-01,1.00000000000000000e+00,8.60796800749401864e-12,P6a_heavy_sep_thin,2.00000000000000000e+02,PHYSICAL_DECAYS_NO_HEAVY_CASCADES
dihiggs.point.v2,DihiggsPointV2Evaluator,2264ffe1b8d8f59bec69341d6aa1a917396ccb2b,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,high_mass_h2_pilot_v1,P6b_heavy_sep_wide,point_8073c107addafef7,1,1.00000000000000000e+00,1.25200000000000003e+02,3.00000000000000000e+02,1.20000000000000000e+03,1.20000000000000000e+03,9.98999999999999999e-01,5.00000000000000000e+01,1.55079899282174605e+00,1.67216815446837099e+04,3.34299910929303167e+02,1.00000000000000006e-01,0.00000000000000000e+00,3.01391789707441012e+03,2.59302486305148461e-01,4.87444531351353163e+01,-2.34779228137096752e+01,-2.34779228137096787e+01,1.00000000000000006e-01,0.00000000000000000e+00,4.99999999999999005e+01,3.34299910929302541e+02,1.67216815446836808e+04,1,1.00000000000000000e+00,unitarity,check_unitarity_false,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,6.60442680001939607e+02,3.33931159208555844e-06,1.48872872020114966e-07,2.35195911299970688e-07,3.80095248713359120e-07,1.13117274084002031e-02,5.02063920703259281e-03,4.74549327497104226e-07,9.53307328682400076e-07,3.29573391764382737e-06,6.55382659467444641e-03,2.28950228308782977e-02,2.55457311554296851e-09,1.45853167160063312e-04,6.50241203600511590e-06,1.02727965391134808e-05,1.66016540590965619e-05,4.94069278373646559e-01,2.19289547956305370e-01,2.07271829778253861e-05,4.16381907860202525e-05,1.43949798259161504e-04,2.86255516890569051e-01,1.00000000000000000e+00,8.61877194260173412e-12,P6b_heavy_sep_wide,9.00000000000000000e+02,PHYSICAL_DECAYS_NO_HEAVY_CASCADES
