point_id,mh,mH,mA,mHp,tan_beta,beta,sin_ba,lambda6_input,lambda7_input,M,M2,m12_sq_input,M2_recomputed,relative_M2_reconstruction_error,set_param_phys_ok,positivity_ok,unitarity_ok,perturbativity_ok,stability_ok,triple_ok,theory_ok,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6_derived,lambda7_derived,m12_sq_derived,tan_beta_derived,width_bb_H2,width_tautau_H2,width_WW_H2,width_ZZ_H2,width_gammagamma_H2,width_Zgamma_H2,width_gg_H2,width_hh_H2,total_width_H2,br_gammagamma_H2,ctau_mm_H2,yukawa_assignment,scalar_z2_status,soft_z2_only,rejection_stage,rejection_reason,hbhs_block_ok,eff_h1_ss_s,eff_h1_ss_p,eff_h1_cc_s,eff_h1_cc_p,eff_h1_bb_s,eff_h1_bb_p,eff_h1_tt_s,eff_h1_tt_p,eff_h1_mumu_s,eff_h1_mumu_p,eff_h1_tautau_s,eff_h1_tautau_p,eff_h1_WW,eff_h1_ZZ,eff_h1_Zga,eff_h1_gaga,eff_h1_gg,eff_h1_h1Z,eff_h1_h2Z,eff_h1_h3Z,eff_h2_ss_s,eff_h2_ss_p,eff_h2_cc_s,eff_h2_cc_p,eff_h2_bb_s,eff_h2_bb_p,eff_h2_tt_s,eff_h2_tt_p,eff_h2_mumu_s,eff_h2_mumu_p,eff_h2_tautau_s,eff_h2_tautau_p,eff_h2_WW,eff_h2_ZZ,eff_h2_Zga,eff_h2_gaga,eff_h2_gg,eff_h2_h1Z,eff_h2_h2Z,eff_h2_h3Z,eff_h3_ss_s,eff_h3_ss_p,eff_h3_cc_s,eff_h3_cc_p,eff_h3_bb_s,eff_h3_bb_p,eff_h3_tt_s,eff_h3_tt_p,eff_h3_mumu_s,eff_h3_mumu_p,eff_h3_tautau_s,eff_h3_tautau_p,eff_h3_WW,eff_h3_ZZ,eff_h3_Zga,eff_h3_gaga,eff_h3_gg,eff_h3_h1Z,eff_h3_h2Z,eff_h3_h3Z,total_width_h1,total_width_h3,total_width_hc,br_h1_h1h1,br_h1_h2h2,br_h1_h3h3,br_h1_h1h2,br_h1_h1h3,br_h1_h2h3,br_h1_h1Z,br_h1_h2Z,br_h1_h3Z,br_h1_hcW,br_h2_h1h1,br_h2_h2h2,br_h2_h3h3,br_h2_h1h2,br_h2_h1h3,br_h2_h2h3,br_h2_h1Z,br_h2_h2Z,br_h2_h3Z,br_h2_hcW,br_h3_h1h1,br_h3_h2h2,br_h3_h3h3,br_h3_h1h2,br_h3_h1h3,br_h3_h2h3,br_h3_h1Z,br_h3_h2Z,br_h3_h3Z,br_h3_hcW,br_t_hcb,br_hc_cs,br_hc_cb,br_hc_tb,br_hc_taunu,br_hc_h1W,br_hc_h2W,br_hc_h3W,hc_kappa_t,hc_kappa_b
canonical_anchor_150,1.25200000000000003e+02,1.50000000000000000e+02,4.50000000000000000e+02,4.50000000000000000e+02,2.00000000000000000e+00,1.10714871779409041e+00,1.00000000000000000e+00,1.00000000000000004e-10,0.00000000000000000e+00,1.55884572681198961e+02,2.43000000000000000e+04,9.72000000000000182e+03,2.42999999999999600e+04,1.64682168222258612e-15,1,1,1,1,1,1,1,1.39795468613656965e-01,2.51136467330201618e-01,6.16705484949927740e+00,-2.93940235805678096e+00,-2.93940235805678096e+00,1.00000000000000004e-10,0.00000000000000000e+00,9.71999999999998545e+03,1.99999999999999956e+00,7.76615529209876906e-04,7.76378771848907257e-05,0.00000000000000000e+00,0.00000000000000000e+00,2.86369785708756410e-07,2.28649441491032249e-08,1.36393515325641378e-04,0.00000000000000000e+00,1.02628402321743029e-03,2.79035607327276537e-04,1.92273265427414707e-10,type-I,hard_broken_lambda6,0,none,ok,1,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,9.82310046170185580e-01,9.53280262572795190e-01,9.99999999999999445e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-5.00000000000000000e-01,0.00000000000000000e+00,-5.00000000000000111e-01,0.00000000000000000e+00,-5.00000000000000111e-01,0.00000000000000000e+00,-5.00000000000000000e-01,0.00000000000000000e+00,-5.00000000000000111e-01,0.00000000000000000e+00,-5.00000000000000111e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.39128815078890056e-02,1.10199281231326496e-01,5.00000000000002220e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.00000000000000000e+00,-0.00000000000000000e+00,5.00000000000000222e-01,-0.00000000000000000e+00,-5.00000000000000111e-01,-0.00000000000000000e+00,5.00000000000000111e-01,-0.00000000000000000e+00,-5.00000000000000111e-01,-0.00000000000000000e+00,5.00000000000000111e-01,-0.00000000000000000e+00,5.00000000000000111e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.66479902782399519e-01,1.02625422739662597e+00,7.58252579799573057e-01,0.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,4.36523450115162449e-03,2.23747615668540014e+01,2.27815374659922760e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,7.83770894410650620e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.43089258031345579e-06,1.43919267923724259e-07,1.97292109415872718e-01,1.02320834587183193e-05,0.00000000000000000e+00,8.02356927189700753e-01,0.00000000000000000e+00,4.99573000000000100e-01,-4.99573000000001544e-01
point_feb838bf5e5e421f,1.25200000000000003e+02,2.00000000000000000e+02,5.00000000000000000e+02,5.00000000000000000e+02,2.00000000000000000e+00,1.10714871779409041e+00,9.94999999999999996e-01,1.00000000000000004e-10,0.00000000000000000e+00,1.00000000000000000e+02,1.00000000000000000e+04,4.00000000000000091e+03,1.00000000000000236e+04,2.36468622460961331e-15,1,1,1,1,1,1,1,2.38544114456622802e+00,3.45399816758238554e-01,7.74910721583318995e+00,-3.95879105461325631e+00,-3.95879105461325631e+00,1.00000000000000004e-10,0.00000000000000000e+00,4.00000000000001000e+03,1.99999999999999956e+00,6.20263023521437748e-04,6.54907481021839313e-05,1.00509272730908150e-02,3.48914085413876097e-03,2.50057706438489988e-06,3.30623599014329776e-06,2.03841604686318069e-04,0.00000000000000000e+00,1.44636295644989515e-02,1.72887244742673596e-04,1.36429780312087112e-11,type-I,hard_broken_lambda6,0,none,ok,1,1.04493746088859552e+00,0.00000000000000000e+00,1.04493746088859552e+00,0.00000000000000000e+00,1.04493746088859529e+00,0.00000000000000000e+00,1.04493746088859507e+00,0.00000000000000000e+00,1.04493746088859529e+00,0.00000000000000000e+00,1.04493746088859552e+00,0.00000000000000000e+00,9.94999999999999996e-01,9.94999999999999996e-01,9.73226006648290731e-01,9.32144139621733148e-01,1.04493746088859130e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.98749217771906783e-02,-3.97625078222809458e-01,0.00000000000000000e+00,-3.97625078222809458e-01,0.00000000000000000e+00,-3.97625078222809458e-01,0.00000000000000000e+00,-3.97625078222809403e-01,0.00000000000000000e+00,-3.97625078222809403e-01,0.00000000000000000e+00,-3.97625078222809403e-01,0.00000000000000000e+00,9.98749217771906783e-02,9.98749217771906783e-02,1.14690379766904271e-01,1.81609368999599230e-01,3.97625078222809181e-01,0.00000000000000000e+00,0.00000000000000000e+00,-9.95000000000000107e-01,-0.00000000000000000e+00,5.00000000000000222e-01,-0.00000000000000000e+00,-5.00000000000000111e-01,-0.00000000000000000e+00,5.00000000000000111e-01,-0.00000000000000000e+00,-5.00000000000000222e-01,-0.00000000000000000e+00,5.00000000000000111e-01,-0.00000000000000000e+00,5.00000000000000111e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.76259006191590989e-01,1.41323685788828679e+00,6.98335661926283047e-01,9.98749217771906783e-02,-9.95000000000000107e-01,0.00000000000000000e+00,4.66559601760022178e-03,2.63055843647113932e+01,2.66277036568519563e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.13181679512174959e-02,7.71230469476314018e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.20484900246989649e-06,1.34442190781803160e-07,1.95686064096123741e-01,9.72687763779090693e-06,1.14996967916052798e-02,7.92466690588813361e-01,0.00000000000000000e+00,4.99573000000000045e-01,-4.99572999999999878e-01
point_61bf5e4c3200c037,1.25200000000000003e+02,2.50000000000000000e+02,5.50000000000000000e+02,5.50000000000000000e+02,2.00000000000000000e+00,1.10714871779409041e+00,9.94999999999999996e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.90525588832576489e+02,3.63000000000000000e+04,1.45200000000000036e+04,3.62999999999999854e+04,4.00879207393026234e-16,1,1,1,1,1,1,1,2.27113908200805703e+00,2.95624259511138687e-01,8.73885116073166657e+00,-4.39095907804747476e+00,-4.39095907804747476e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.45199999999999964e+04,1.99999999999999956e+00,7.43686930870218602e-04,8.18773965559624811e-05,2.72877251292936510e-02,1.15531870466681619e-02,3.74516997742240007e-06,5.15131215556605969e-06,4.27057751042227271e-04,0.00000000000000000e+00,4.01361663875571886e-02,9.33116018420598057e-05,4.91643816937071257e-12,type-I,hard_broken_lambda6,0,none,ok,1,1.04493746088859552e+00,0.00000000000000000e+00,1.04493746088859552e+00,0.00000000000000000e+00,1.04493746088859529e+00,0.00000000000000000e+00,1.04493746088859507e+00,0.00000000000000000e+00,1.04493746088859529e+00,0.00000000000000000e+00,1.04493746088859552e+00,0.00000000000000000e+00,9.94999999999999996e-01,9.94999999999999996e-01,9.74760403434413170e-01,9.36180741942271966e-01,1.04493746088859463e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.98749217771906783e-02,-3.97625078222809569e-01,0.00000000000000000e+00,-3.97625078222809514e-01,0.00000000000000000e+00,-3.97625078222809514e-01,0.00000000000000000e+00,-3.97625078222809403e-01,0.00000000000000000e+00,-3.97625078222809403e-01,0.00000000000000000e+00,-3.97625078222809403e-01,0.00000000000000000e+00,9.98749217771906783e-02,9.98749217771906783e-02,1.15624061159770725e-01,1.96873860078700974e-01,3.97625078222809292e-01,0.00000000000000000e+00,0.00000000000000000e+00,-9.95000000000000107e-01,-0.00000000000000000e+00,5.00000000000000111e-01,-0.00000000000000000e+00,-5.00000000000000111e-01,-0.00000000000000000e+00,5.00000000000000111e-01,-0.00000000000000000e+00,-5.00000000000000222e-01,-0.00000000000000000e+00,5.00000000000000111e-01,-0.00000000000000000e+00,5.00000000000000111e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.85797237896993844e-01,2.03440498046095364e+00,6.61656678286411282e-01,9.98749217771906783e-02,-9.95000000000000107e-01,0.00000000000000000e+00,4.66568692748831233e-03,2.98165303140030460e+01,3.01098241938747861e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.41126894573719644e-02,7.67717068423233617e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.06932545339993200e-06,1.28760580597723181e-07,1.95702622166616241e-01,9.46223079324199394e-06,1.42891912164964524e-02,7.89660966476322557e-01,0.00000000000000000e+00,4.99573000000000100e-01,-4.99573000000000211e-01
